transaction_id,date,time,store_id,channel,customer_id,item_id,item_name,quantity,unit_price,discount,total_price,payment_method,promo_code,order_datetime,order_date,order_time,order_hour,order_weekday,total_diff
T0000175,2025-06-01,06:00:00,CA006,in_store,C00392,1072,Hot Chocolate,1,3.95,0.0,3.95,card,SUMMER15,2025-06-01 06:00:00,2025-06-01,06:00:00,6,Sunday,0.0
T0000585,2025-06-01,06:01:00,NY007,in_store,C00859,1030,Iced Pumpkin Spice Latte,1,5.95,0.0,5.95,card,NEWAPP5,2025-06-01 06:01:00,2025-06-01,06:01:00,6,Sunday,0.0
T0000390,2025-06-01,06:04:00,CA005,in_store,C00147,1095,Chicken Caprese Sandwich,1,6.95,0.0,6.95,card,BOGO,2025-06-01 06:04:00,2025-06-01,06:04:00,6,Sunday,0.0
T0000115,2025-06-01,06:04:00,NY009,mobile_app,C00723,1009,Mocha,1,5.15,0.15,4.38,cash,,2025-06-01 06:04:00,2025-06-01,06:04:00,6,Sunday,0.0
T0000309,2025-06-01,06:07:00,CA003,mobile_app,C00935,1095,Chicken Caprese Sandwich,2,6.95,0.0,13.9,card,PSL10,2025-06-01 06:07:00,2025-06-01,06:07:00,6,Sunday,0.0
T0000016,2025-06-01,06:14:00,TX003,mobile_app,C00282,1047,Earl Grey Tea,2,2.95,0.0,5.9,cash,,2025-06-01 06:14:00,2025-06-01,06:14:00,6,Sunday,0.0
T0000060,2025-06-01,06:14:00,NY006,in_store,C00104,1090,Ham & Swiss Croissant,1,4.25,0.0,4.25,card,,2025-06-01 06:14:00,2025-06-01,06:14:00,6,Sunday,0.0
T0000334,2025-06-01,06:15:00,CA003,mobile_app,C00343,1090,Ham & Swiss Croissant,2,4.25,0.0,8.5,mobile_pay,,2025-06-01 06:15:00,2025-06-01,06:15:00,6,Sunday,0.0
T0000481,2025-06-01,06:15:00,CA001,in_store,C00105,1053,Matcha Latte,2,4.95,0.15,8.42,card,,2025-06-01 06:15:00,2025-06-01,06:15:00,6,Sunday,0.0
T0000459,2025-06-01,06:16:00,NY005,mobile_app,C00249,1038,Mocha Frappuccino,2,5.45,0.0,10.9,card,SUMMER15,2025-06-01 06:16:00,2025-06-01,06:16:00,6,Sunday,0.0
T0000246,2025-06-01,06:16:00,TX001,in_store,C00676,1084,Multigrain Bagel,1,2.45,0.0,2.45,cash,,2025-06-01 06:16:00,2025-06-01,06:16:00,6,Sunday,0.0
T0000116,2025-06-01,06:18:00,NY009,in_store,C00069,1069,Lemonade,1,2.95,0.0,2.95,card,,2025-06-01 06:18:00,2025-06-01,06:18:00,6,Sunday,0.0
T0000265,2025-06-01,06:19:00,TX001,mobile_app,C00127,1023,Vanilla Sweet Cream Cold Brew,1,4.75,0.0,4.75,card,,2025-06-01 06:19:00,2025-06-01,06:19:00,6,Sunday,0.0
T0000447,2025-06-01,06:20:00,NY005,in_store,C00691,1013,Espresso Macchiato,1,2.95,0.0,2.95,card,,2025-06-01 06:20:00,2025-06-01,06:20:00,6,Sunday,0.0
T0000406,2025-06-01,06:21:00,CA005,in_store,C00224,1070,Spindrift Sparkling Water,1,2.75,0.0,2.75,card,,2025-06-01 06:21:00,2025-06-01,06:21:00,6,Sunday,0.0
T0000519,2025-06-01,06:22:00,CA001,in_store,C00903,1016,Hazelnut Latte,1,4.75,0.0,4.75,card,PSL10,2025-06-01 06:22:00,2025-06-01,06:22:00,6,Sunday,0.0
T0000575,2025-06-01,06:24:00,NY007,in_store,C00110,1008,Caramel Macchiato,2,5.25,0.0,10.5,card,,2025-06-01 06:24:00,2025-06-01,06:24:00,6,Sunday,0.0
T0000500,2025-06-01,06:26:00,CA001,mobile_app,C00937,1100,Sous Vide Egg Bites,2,4.65,0.05,8.84,card,BOGO,2025-06-01 06:26:00,2025-06-01,06:26:00,6,Sunday,0.0
T0000147,2025-06-01,06:30:00,NY009,in_store,C00330,1054,Iced Black Tea,1,3.25,0.0,3.25,card,BOGO,2025-06-01 06:30:00,2025-06-01,06:30:00,6,Sunday,0.0
T0000137,2025-06-01,06:35:00,NY009,mobile_app,C00102,1092,Impossible Breakfast Sandwich,1,5.25,0.0,5.25,mobile_pay,PSL10,2025-06-01 06:35:00,2025-06-01,06:35:00,6,Sunday,0.0
T0000012,2025-06-01,06:36:00,TX003,in_store,C00085,1010,White Chocolate Mocha,1,5.55,0.0,5.55,card,SUMMER15,2025-06-01 06:36:00,2025-06-01,06:36:00,6,Sunday,0.0
T0000132,2025-06-01,06:41:00,NY009,mobile_app,C00779,1022,Cold Brew,2,4.25,0.0,8.5,card,PSL10,2025-06-01 06:41:00,2025-06-01,06:41:00,6,Sunday,0.0
T0000130,2025-06-01,06:41:00,NY009,mobile_app,C00795,1049,Mint Majesty Herbal Tea,2,2.95,0.0,5.9,card,,2025-06-01 06:41:00,2025-06-01,06:41:00,6,Sunday,0.0
T0000482,2025-06-01,06:44:00,CA001,in_store,C00242,1023,Vanilla Sweet Cream Cold Brew,1,4.75,0.15,4.04,card,,2025-06-01 06:44:00,2025-06-01,06:44:00,6,Sunday,0.0
T0000257,2025-06-01,06:44:00,TX001,in_store,C00593,1083,Plain Bagel,1,2.25,0.15,1.91,mobile_pay,,2025-06-01 06:44:00,2025-06-01,06:44:00,6,Sunday,0.0
T0000362,2025-06-01,06:48:00,CA003,in_store,C00467,1063,Mango Dragonfruit Refresher,1,4.45,0.0,4.45,card,SUMMER15,2025-06-01 06:48:00,2025-06-01,06:48:00,6,Sunday,0.0
T0000019,2025-06-01,06:48:00,TX003,mobile_app,C00301,1024,Nitro Cold Brew,2,4.95,0.0,9.9,card,PSL10,2025-06-01 06:48:00,2025-06-01,06:48:00,6,Sunday,0.0
T0000184,2025-06-01,06:50:00,CA006,in_store,C00019,1084,Multigrain Bagel,2,2.45,0.0,4.9,card,SUMMER15,2025-06-01 06:50:00,2025-06-01,06:50:00,6,Sunday,0.0
T0000520,2025-06-01,06:52:00,CA001,in_store,C00715,1090,Ham & Swiss Croissant,1,4.25,0.0,4.25,card,,2025-06-01 06:52:00,2025-06-01,06:52:00,6,Sunday,0.0
T0000213,2025-06-01,06:52:00,CA006,in_store,C00026,1089,Turkey Bacon Cheddar Sandwich,2,4.65,0.0,9.3,card,SUMMER15,2025-06-01 06:52:00,2025-06-01,06:52:00,6,Sunday,0.0
T0000282,2025-06-01,06:57:00,TX001,in_store,C00661,1072,Hot Chocolate,1,3.95,0.0,3.95,mobile_pay,,2025-06-01 06:57:00,2025-06-01,06:57:00,6,Sunday,0.0
T0000567,2025-06-01,06:59:00,NY007,mobile_app,C00507,1083,Plain Bagel,1,2.25,0.15,1.91,card,SUMMER15,2025-06-01 06:59:00,2025-06-01,06:59:00,6,Sunday,0.0
T0000266,2025-06-01,07:00:00,TX001,in_store,C00108,1089,Turkey Bacon Cheddar Sandwich,2,4.65,0.0,9.3,card,,2025-06-01 07:00:00,2025-06-01,07:00:00,7,Sunday,0.0
T0000278,2025-06-01,07:00:00,TX001,mobile_app,C00670,1013,Espresso Macchiato,2,2.95,0.1,5.31,cash,,2025-06-01 07:00:00,2025-06-01,07:00:00,7,Sunday,0.0
T0000037,2025-06-01,07:01:00,TX003,in_store,C00386,1055,Iced Green Tea,1,3.25,0.15,2.76,mobile_pay,,2025-06-01 07:01:00,2025-06-01,07:01:00,7,Sunday,0.0
